,Unnamed: 0,struct,comp,E_P0,V_P0,Vf_P0,B0,BP0,c1s,Ncontent,Hcontent
0,0,cf850,Lu8 H8 N8,-1.1303275397312973,14.094054106046928,-2.6555292272864057,4.293234796505851,23.603980566242704,-0.3494565555053889,8.0,8.0
1,1,cf605,Lu8 N8 H7,-0.99909286435982,11.364779728357062,-5.825437662947286,132.92910768491507,26.296966382617544,-13.81922685361683,8.0,7.0
2,2,cf437,Lu8 N2 H4,-0.8071520123069474,16.68629841810803,-3.807808724749111,76.24912848269172,7.086652832343267,-4.648555756372079,2.0,4.0
3,3,cf857,Lu8 N5 H5,-1.1534650844001186,11.788594263788836,-6.980225180655605,219.29149457366108,14.377721121455371,-19.68683930776888,5.0,5.0
4,4,cf259,Lu8 H13 N6,-0.7426379603550433,10.097293007016974,-4.922244030020061,73.75105439495202,3.160799581216295,-7.342995447287255,6.0,13.0
5,5,cf1499,Lu8 H8 N1,-0.6392706754293827,14.071993092515571,-3.4932274957197214,69.90019827948637,1.783864232504609,-4.981172813478209,1.0,8.0
6,6,cf1009,Lu8 N2 H9,-0.722688945669736,13.163388730420277,-3.678321795895513,70.02540615261188,3.892785907492364,-5.357124495924422,2.0,9.0
7,7,cf430,Lu8 H12 N4,-0.9956447617229666,9.665278042835643,-5.725346957164355,89.0631428917832,14.320419129393674,-9.748266573150582,4.0,12.0
8,8,cf266,Lu8 H10 N6,-1.0288399293228092,10.449046132694818,-5.621058033971849,98.19856260353264,6.366837832107795,-9.534785819702927,6.0,10.0
9,9,cf868,Lu8 H12 N4,-0.9687289533303556,9.819603125403274,-5.571021874596724,82.8702900756886,14.731096505768948,-8.953600531674601,4.0,12.0
10,10,cf292,Lu8 H13 N8,-0.7177885164605085,9.928583180445925,-5.073658198864419,23.531541850352472,24.3564000141472,-2.740745102208909,8.0,13.0
11,11,cf1036,Lu8 H4 N4,-1.0427233993132177,13.42542444356406,-6.353013056435939,133.39912877101082,19.17823321720491,-10.92216708429287,4.0,4.0
