Element_Matrix,Index
"[[0.625 0.125 0.125]
 [0.25  0.25  0.25 ]
 [0.625 0.625 0.125]
 [0.625 0.125 0.625]
 [0.25  0.75  0.25 ]
 [0.25  0.25  0.75 ]
 [0.625 0.625 0.625]
 [0.25  0.75  0.75 ]]",1
"[[0.625 0.125 0.125]
 [0.25  0.75  0.25 ]
 [0.75  0.75  0.25 ]
 [0.375 0.375 0.875]
 [0.625 0.625 0.625]
 [0.875 0.375 0.875]
 [0.25  0.75  0.75 ]
 [0.75  0.75  0.75 ]]",2
"[[0.125 0.125 0.125]
 [0.625 0.125 0.125]]",3
"[[0.625 0.125 0.125]
 [0.125 0.125 0.625]
 [0.625 0.125 0.625]
 [0.25  0.75  0.25 ]
 [0.625 0.625 0.625]]",4
"[[0.125 0.125 0.625]
 [0.25  0.75  0.25 ]
 [0.875 0.875 0.375]
 [0.875 0.375 0.875]
 [0.75  0.75  0.75 ]
 [0.375 0.875 0.875]]",5
[[0.25 0.75 0.25]],6
"[[0.25 0.25 0.25]
 [0.75 0.75 0.25]]",7
"[[0.125 0.625 0.125]
 [0.125 0.125 0.625]
 [0.875 0.375 0.375]
 [0.875 0.375 0.875]]",8
"[[0.25  0.75  0.25 ]
 [0.75  0.25  0.75 ]
 [0.375 0.875 0.375]
 [0.625 0.625 0.625]
 [0.875 0.375 0.875]
 [0.875 0.875 0.875]]",9
"[[0.125 0.625 0.125]
 [0.625 0.125 0.625]
 [0.375 0.875 0.375]
 [0.875 0.375 0.875]]",10
"[[0.625 0.125 0.125]
 [0.25  0.25  0.25 ]
 [0.75  0.75  0.25 ]
 [0.625 0.625 0.625]
 [0.875 0.375 0.875]
 [0.25  0.75  0.75 ]
 [0.75  0.75  0.75 ]
 [0.375 0.875 0.875]]",11
"[[0.375 0.375 0.375]
 [0.625 0.125 0.625]
 [0.75  0.75  0.25 ]
 [0.375 0.875 0.375]]",12
"[[0.875 0.375 0.375]
 [0.375 0.875 0.375]
 [0.875 0.875 0.375]
 [0.375 0.875 0.875]]",13
"[[0.25  0.25  0.25 ]
 [0.75  0.25  0.25 ]
 [0.125 0.625 0.125]
 [0.125 0.625 0.625]
 [0.875 0.875 0.375]
 [0.25  0.75  0.75 ]
 [0.75  0.75  0.75 ]]",14
"[[0.25  0.25  0.25 ]
 [0.125 0.125 0.625]
 [0.75  0.75  0.25 ]
 [0.375 0.875 0.375]
 [0.625 0.625 0.625]
 [0.25  0.75  0.75 ]
 [0.75  0.75  0.75 ]
 [0.375 0.875 0.875]]",15
"[[0.125 0.125 0.625]
 [0.75  0.75  0.25 ]
 [0.75  0.75  0.75 ]]",16
[],17
"[[0.125 0.625 0.125]
 [0.375 0.375 0.375]
 [0.375 0.875 0.375]
 [0.375 0.375 0.875]]",18
"[[0.25  0.25  0.25 ]
 [0.625 0.125 0.625]
 [0.25  0.75  0.25 ]
 [0.625 0.625 0.625]
 [0.875 0.375 0.875]
 [0.875 0.875 0.875]]",19
"[[0.25 0.75 0.25]
 [0.75 0.75 0.25]
 [0.75 0.75 0.75]]",20
"[[0.125 0.625 0.125]
 [0.125 0.125 0.625]
 [0.25  0.25  0.75 ]
 [0.75  0.25  0.75 ]
 [0.25  0.75  0.75 ]
 [0.75  0.75  0.75 ]
 [0.375 0.875 0.875]
 [0.875 0.875 0.875]]",21
[[0.25 0.75 0.25]],22
"[[0.125 0.125 0.125]
 [0.625 0.125 0.125]
 [0.75  0.25  0.25 ]
 [0.125 0.625 0.125]
 [0.25  0.75  0.25 ]
 [0.75  0.75  0.25 ]
 [0.375 0.375 0.875]
 [0.75  0.75  0.75 ]]",23
"[[0.25  0.25  0.25 ]
 [0.875 0.375 0.375]
 [0.25  0.75  0.25 ]
 [0.25  0.75  0.75 ]]",24
"[[0.25  0.25  0.25 ]
 [0.875 0.375 0.375]
 [0.25  0.25  0.75 ]
 [0.125 0.625 0.625]
 [0.75  0.75  0.75 ]
 [0.375 0.875 0.875]
 [0.875 0.875 0.875]]",25
"[[0.125 0.625 0.125]
 [0.625 0.625 0.125]
 [0.625 0.125 0.625]
 [0.25  0.25  0.75 ]
 [0.75  0.25  0.75 ]
 [0.375 0.875 0.375]
 [0.25  0.75  0.75 ]
 [0.75  0.75  0.75 ]]",26
"[[0.75  0.25  0.25 ]
 [0.25  0.75  0.25 ]
 [0.25  0.25  0.75 ]
 [0.375 0.875 0.375]]",27
"[[0.75  0.25  0.25 ]
 [0.75  0.75  0.25 ]
 [0.375 0.875 0.375]
 [0.25  0.75  0.75 ]]",28
"[[0.875 0.375 0.375]
 [0.25  0.25  0.75 ]
 [0.75  0.75  0.25 ]
 [0.75  0.25  0.75 ]]",29
"[[0.25  0.25  0.25 ]
 [0.625 0.625 0.125]
 [0.875 0.875 0.875]]",30
"[[0.75 0.25 0.25]
 [0.75 0.75 0.75]]",31
"[[0.75  0.25  0.25 ]
 [0.125 0.625 0.125]
 [0.625 0.625 0.125]
 [0.875 0.375 0.375]
 [0.75  0.75  0.25 ]
 [0.25  0.75  0.75 ]
 [0.75  0.75  0.75 ]
 [0.875 0.875 0.875]]",32
[],33
"[[0.25  0.25  0.25 ]
 [0.625 0.125 0.625]
 [0.25  0.75  0.25 ]
 [0.75  0.75  0.25 ]
 [0.75  0.25  0.75 ]
 [0.625 0.625 0.625]
 [0.875 0.875 0.375]
 [0.375 0.875 0.875]]",34
[[0.125 0.125 0.625]],35
[[0.875 0.375 0.875]],36
[[0.875 0.375 0.375]],37
[],38
"[[0.125 0.625 0.125]
 [0.25  0.75  0.25 ]
 [0.375 0.375 0.875]
 [0.625 0.625 0.625]]",39
"[[0.125 0.125 0.125]
 [0.75  0.25  0.25 ]
 [0.625 0.625 0.125]
 [0.25  0.75  0.25 ]
 [0.875 0.375 0.875]
 [0.375 0.875 0.875]]",40
"[[0.625 0.125 0.125]
 [0.875 0.375 0.375]
 [0.375 0.375 0.875]
 [0.875 0.875 0.375]]",41
"[[0.125 0.125 0.125]
 [0.75  0.25  0.25 ]
 [0.125 0.125 0.625]
 [0.75  0.75  0.25 ]
 [0.75  0.25  0.75 ]
 [0.375 0.875 0.375]
 [0.75  0.75  0.75 ]
 [0.375 0.875 0.875]]",42
"[[0.125 0.125 0.125]
 [0.25  0.25  0.25 ]
 [0.625 0.625 0.125]
 [0.75  0.75  0.25 ]
 [0.25  0.75  0.75 ]]",43
"[[0.625 0.125 0.125]
 [0.125 0.125 0.625]
 [0.625 0.125 0.625]]",44
[[0.75 0.25 0.25]],45
"[[0.25  0.25  0.25 ]
 [0.125 0.125 0.625]
 [0.625 0.625 0.125]
 [0.875 0.375 0.375]
 [0.375 0.875 0.875]]",46
"[[0.25  0.25  0.25 ]
 [0.75  0.75  0.25 ]
 [0.375 0.375 0.875]]",47
[],48
"[[0.625 0.625 0.125]
 [0.625 0.625 0.625]
 [0.875 0.875 0.375]
 [0.75  0.75  0.75 ]
 [0.875 0.875 0.875]]",49
"[[0.125 0.125 0.125]
 [0.625 0.625 0.125]
 [0.625 0.125 0.625]
 [0.25  0.25  0.75 ]
 [0.875 0.375 0.875]
 [0.25  0.75  0.75 ]
 [0.75  0.75  0.75 ]]",50
"[[0.25  0.25  0.25 ]
 [0.125 0.125 0.625]
 [0.625 0.625 0.125]
 [0.875 0.375 0.375]
 [0.25  0.25  0.75 ]
 [0.75  0.75  0.25 ]
 [0.875 0.375 0.875]
 [0.75  0.75  0.75 ]]",51
[],52
"[[0.25 0.25 0.25]
 [0.75 0.75 0.25]]",53
"[[0.75  0.25  0.25 ]
 [0.375 0.375 0.375]
 [0.375 0.375 0.875]
 [0.875 0.375 0.875]
 [0.25  0.75  0.75 ]
 [0.375 0.875 0.875]]",54
"[[0.75  0.25  0.25 ]
 [0.125 0.125 0.625]
 [0.375 0.375 0.375]
 [0.875 0.375 0.375]
 [0.25  0.75  0.25 ]
 [0.75  0.75  0.25 ]
 [0.375 0.875 0.375]
 [0.75  0.75  0.75 ]]",55
"[[0.25 0.25 0.25]
 [0.25 0.75 0.25]
 [0.25 0.25 0.75]
 [0.25 0.75 0.75]]",56
"[[0.125 0.125 0.125]
 [0.375 0.375 0.375]
 [0.75  0.75  0.25 ]
 [0.75  0.25  0.75 ]
 [0.125 0.625 0.625]
 [0.375 0.875 0.875]]",57
"[[0.25 0.75 0.25]
 [0.75 0.25 0.75]
 [0.75 0.75 0.75]]",58
"[[0.25  0.25  0.25 ]
 [0.25  0.25  0.75 ]
 [0.75  0.75  0.25 ]
 [0.625 0.625 0.625]
 [0.875 0.375 0.875]
 [0.25  0.75  0.75 ]
 [0.375 0.875 0.875]]",59
[],60
"[[0.125 0.125 0.625]
 [0.875 0.375 0.375]
 [0.875 0.875 0.375]]",61
"[[0.875 0.375 0.375]
 [0.25  0.75  0.25 ]
 [0.375 0.875 0.375]
 [0.875 0.875 0.375]]",62
[[0.125 0.625 0.625]],63
"[[0.25 0.25 0.25]
 [0.75 0.25 0.75]
 [0.25 0.75 0.75]
 [0.75 0.75 0.75]]",64
"[[0.625 0.125 0.125]
 [0.75  0.25  0.25 ]
 [0.875 0.375 0.375]
 [0.25  0.75  0.25 ]
 [0.75  0.75  0.25 ]
 [0.625 0.625 0.625]
 [0.75  0.75  0.75 ]
 [0.875 0.875 0.875]]",65
"[[0.125 0.125 0.625]
 [0.625 0.125 0.625]
 [0.25  0.25  0.75 ]
 [0.375 0.875 0.375]
 [0.875 0.875 0.375]]",66
"[[0.75  0.25  0.25 ]
 [0.625 0.625 0.125]
 [0.875 0.375 0.375]
 [0.75  0.75  0.25 ]
 [0.75  0.25  0.75 ]
 [0.375 0.875 0.375]
 [0.625 0.625 0.625]
 [0.25  0.75  0.75 ]]",67
"[[0.25  0.25  0.25 ]
 [0.625 0.625 0.125]
 [0.25  0.75  0.25 ]
 [0.25  0.25  0.75 ]]",68
"[[0.75  0.25  0.25 ]
 [0.625 0.625 0.125]
 [0.875 0.375 0.375]
 [0.75  0.25  0.75 ]
 [0.875 0.875 0.375]
 [0.875 0.875 0.875]]",69
"[[0.625 0.125 0.125]
 [0.75  0.25  0.25 ]
 [0.875 0.375 0.375]
 [0.25  0.75  0.25 ]
 [0.75  0.75  0.25 ]
 [0.125 0.625 0.625]
 [0.75  0.75  0.75 ]
 [0.375 0.875 0.875]]",70
"[[0.125 0.125 0.125]
 [0.625 0.125 0.125]
 [0.25  0.25  0.25 ]
 [0.25  0.75  0.25 ]
 [0.75  0.25  0.75 ]
 [0.875 0.375 0.875]
 [0.25  0.75  0.75 ]
 [0.875 0.875 0.875]]",71
"[[0.25  0.25  0.25 ]
 [0.75  0.25  0.25 ]
 [0.25  0.75  0.25 ]
 [0.25  0.25  0.75 ]
 [0.125 0.625 0.625]
 [0.625 0.625 0.625]
 [0.875 0.875 0.375]
 [0.875 0.375 0.875]]",72
"[[0.25  0.25  0.25 ]
 [0.125 0.625 0.125]
 [0.625 0.625 0.625]
 [0.75  0.75  0.75 ]]",73
"[[0.75  0.25  0.25 ]
 [0.25  0.75  0.25 ]
 [0.25  0.25  0.75 ]
 [0.75  0.75  0.25 ]
 [0.875 0.875 0.875]]",74
[],75
"[[0.625 0.125 0.125]
 [0.25  0.25  0.25 ]
 [0.25  0.25  0.75 ]
 [0.875 0.875 0.875]]",76
"[[0.25  0.25  0.25 ]
 [0.375 0.375 0.375]
 [0.75  0.75  0.25 ]
 [0.375 0.875 0.375]
 [0.875 0.375 0.875]]",77
"[[0.625 0.125 0.125]
 [0.625 0.625 0.125]
 [0.75  0.25  0.75 ]
 [0.75  0.75  0.75 ]]",78
"[[0.25 0.75 0.25]
 [0.75 0.25 0.75]]",79
